iter	Passed	Remaining
0	2	199
1	3	179
2	5	172
3	6	164
4	8	161
5	10	158
6	11	156
7	13	156
8	15	154
9	16	152
10	18	150
11	20	148
12	21	146
13	23	144
14	25	141
15	26	139
16	28	137
17	29	136
18	31	134
19	33	132
20	34	131
21	36	129
22	38	127
23	39	125
24	41	123
25	42	121
26	44	120
27	46	118
28	48	118
29	49	116
30	51	114
31	53	113
32	54	111
33	56	109
34	57	107
35	59	105
36	61	103
37	62	102
38	64	100
39	65	98
40	67	97
41	69	95
42	71	94
43	72	91
44	73	90
45	75	88
46	77	86
47	78	84
48	79	83
49	81	81
50	83	79
51	84	78
52	86	76
53	87	74
54	89	72
55	90	71
56	92	69
57	94	68
58	95	66
59	97	65
60	99	63
61	100	61
62	102	60
63	104	58
64	106	57
65	108	55
66	111	54
67	113	53
68	115	51
69	116	50
70	118	48
71	119	46
72	121	44
73	122	43
74	124	41
75	126	39
76	127	38
77	129	36
78	130	34
79	132	33
80	134	31
81	135	29
82	137	28
83	139	26
84	140	24
85	142	23
86	143	21
87	145	19
88	147	18
89	149	16
90	150	14
91	152	13
92	153	11
93	155	9
94	156	8
95	158	6
96	160	4
97	162	3
98	164	1
99	165	0
